date,r1,r2,r3,r4,r5,r6,blue
2015-06-02,1,7,9,16,22,32,12
2015-06-04,11,12,14,17,23,27,1
2015-06-07,8,10,14,19,26,29,12
2015-06-09,5,8,11,17,24,28,16
2015-06-11,2,5,8,24,25,31,14
2015-06-14,6,15,18,21,26,27,10
2015-06-16,1,13,17,18,23,30,15
2015-06-18,1,7,13,19,21,29,15
2015-06-21,8,18,20,28,29,31,8
2015-06-23,1,3,5,20,21,31,5
2015-06-25,1,2,17,22,26,27,4
2015-06-28,4,7,21,25,26,29,8
2015-06-30,6,11,13,19,21,32,4
2015-07-02,1,9,10,19,23,27,9
2015-07-05,1,6,8,10,13,27,16
2015-07-07,3,7,20,22,26,29,2
2015-07-09,9,14,15,20,26,32,11
2015-07-12,14,17,25,27,28,30,2
2015-07-14,13,20,22,26,28,31,13
2015-07-16,2,8,9,14,28,30,7
2015-07-19,6,7,16,18,29,32,5
2015-07-21,15,18,20,22,28,29,15
2015-07-23,2,8,25,27,28,29,5
2015-07-26,5,6,8,16,18,22,12
2015-07-28,9,15,16,19,20,28,11
2015-07-30,2,12,20,24,29,31,9
2015-08-02,12,14,19,27,28,29,1
2015-08-04,10,12,14,22,25,33,15
2015-08-06,5,7,17,19,22,31,11
2015-08-09,9,15,19,21,26,27,1
2015-08-11,1,3,13,21,25,31,8
2015-08-13,1,4,6,13,16,17,10
2015-08-16,4,15,21,28,30,31,4
2015-08-18,6,16,17,23,24,31,7
2015-08-20,9,12,14,20,26,27,4
2015-08-23,6,9,13,26,27,33,1
2015-08-25,6,7,10,11,14,22,9
2015-08-27,2,3,11,17,19,21,8
2015-08-30,8,16,22,24,28,29,5
2015-09-01,7,9,12,14,21,23,6
2015-09-03,6,8,13,26,30,32,14
2015-09-06,9,18,21,23,25,26,1
2015-09-08,9,10,16,19,20,26,12
2015-09-10,1,3,4,23,31,32,13
2015-09-13,7,14,16,18,21,25,8
2015-09-15,2,12,19,22,24,27,15
2015-09-17,1,8,9,16,32,33,13
2015-09-20,5,7,16,17,22,23,4
2015-09-22,8,14,16,18,20,30,12
2015-09-24,1,3,10,19,20,27,11
2015-09-27,1,5,7,8,19,27,12
2015-09-29,4,7,9,13,21,26,1
2015-10-01,1,7,8,14,24,32,3
